Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-09,ADANIENT,EQ,1636.45,1640.0,1649.45,1571.85,1590.45,1594.65,1610.46,11614666,1870493312965000.2,249405,2170768,0.1869
2021-06-10,ADANIENT,EQ,1594.65,1612.0,1630.0,1591.0,1609.8,1612.0,1609.08,5362307,862837988504999.9,114278,1047267,0.19530000000000003
2021-06-11,ADANIENT,EQ,1612.0,1615.1,1620.1,1575.25,1601.0,1601.6,1599.37,5355387,856525692595000.0,113482,1178956,0.22010000000000002
2021-06-14,ADANIENT,EQ,1601.6,1441.45,1529.95,1201.2,1510.35,1501.45,1372.66,43530006,5975168497235000.0,1125572,3193722,0.0734
2021-06-15,ADANIENT,EQ,1501.45,1550.95,1572.6,1477.2,1525.8,1538.85,1525.74,22320542,3405525194005000.0,579380,1241986,0.0556
2021-06-16,ADANIENT,EQ,1538.85,1510.0,1538.2,1409.3,1427.0,1448.3,1494.23,12626149,1886633155540000.2,290100,1331114,0.1054
2021-06-17,ADANIENT,EQ,1448.3,1380.0,1436.0,1303.5,1356.0,1367.7,1374.54,27926070,3838543665855000.5,621898,1670288,0.059800000000000006
2021-06-18,ADANIENT,EQ,1367.7,1350.0,1504.0,1332.55,1495.0,1487.5,1422.42,30526777,4342184592835000.0,775906,2379125,0.0779
2021-06-21,ADANIENT,EQ,1487.5,1490.0,1582.0,1444.85,1531.0,1540.0,1533.82,21101083,3236524819710000.0,543336,1003919,0.047599999999999996
2021-06-22,ADANIENT,EQ,1540.0,1554.05,1582.0,1531.8,1542.1,1541.6,1563.12,12069983,1886684473270000.0,269773,1223905,0.1014
2021-06-23,ADANIENT,EQ,1541.6,1560.1,1569.95,1481.3,1499.7,1504.75,1513.21,12679703,1918705908784999.8,265370,2028193,0.16
2021-06-24,ADANIENT,EQ,1504.75,1509.95,1519.0,1488.05,1515.35,1508.5,1503.94,7261764,1092127876529999.9,160280,894034,0.1231
2021-06-25,ADANIENT,EQ,1508.5,1525.0,1534.0,1501.0,1516.0,1519.45,1518.09,4962963,753420290105000.0,94791,612539,0.1234
